src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,total_bytes,avg_pkt_size,std_pkt_size,pkt_len_entropy,payload_entropy,pkt_per_sec,bytes_per_sec,avg_inter_arrival,syn_rate,fin_rate,label
192.168.50.6,172.217.10.98,54799,443,PA,2.1457672119140625e-06,2,200,100.0,0.0,-0.0,-0.0,932067.5555555555,93206755.55555555,2.1457672119140625e-06,0.0,0,0
192.168.50.6,172.217.7.2,54800,443,PA,9.5367431640625e-07,2,200,100.0,0.0,-0.0,-0.0,2097152.0,209715200.0,9.5367431640625e-07,0.0,0,0
192.168.50.6,172.217.10.98,54801,443,PA,4.410743713378906e-05,2,200,100.0,0.0,-0.0,-0.0,45343.82702702703,4534382.702702703,4.410743713378906e-05,0.0,0,0
192.168.50.6,172.217.9.238,54805,80,FA,3.0994415283203125e-06,2,120,60.0,0.0,-0.0,-0.0,645277.5384615385,38716652.307692304,3.0994415283203125e-06,0.0,0,0
172.217.7.2,192.168.50.6,443,54800,PA,1.9073486328125e-06,2,200,100.0,0.0,-0.0,-0.0,1048576.0,104857600.0,1.9073486328125e-06,0.0,0,0
172.217.10.98,192.168.50.6,443,54799,PA,1.9073486328125e-06,2,200,100.0,0.0,-0.0,-0.0,1048576.0,104857600.0,1.9073486328125e-06,0.0,0,0
172.217.10.98,192.168.50.6,443,54801,PA,1.9073486328125e-06,2,200,100.0,0.0,-0.0,-0.0,1048576.0,104857600.0,1.9073486328125e-06,0.0,0,0
172.217.9.238,192.168.50.6,80,54805,FA,2.1457672119140625e-06,2,120,60.0,0.0,-0.0,-0.0,932067.5555555555,55924053.333333336,2.1457672119140625e-06,0.0,0,0
192.168.50.6,172.217.9.238,54805,80,A,2.1457672119140625e-06,2,120,60.0,0.0,-0.0,-0.0,932067.5555555555,55924053.333333336,2.1457672119140625e-06,0.0,0,0
192.168.50.6,172.217.10.98,54801,443,A,2.1457672119140625e-06,2,120,60.0,0.0,-0.0,-0.0,932067.5555555555,55924053.333333336,2.1457672119140625e-06,0.0,0,0
192.168.50.6,172.217.7.2,54800,443,A,1.9073486328125e-06,2,120,60.0,0.0,-0.0,-0.0,1048576.0,62914560.0,1.9073486328125e-06,0.0,0,0
