Timestamp,Source IP,Destination IP,Protocol,Length
1541233098.610576,192.168.50.6,172.217.10.98,6,100
1541233098.610578,192.168.50.6,172.217.10.98,6,100
1541233098.610579,192.168.50.6,172.217.7.2,6,100
1541233098.610580,192.168.50.6,172.217.7.2,6,100
1541233098.610581,192.168.50.6,172.217.10.98,6,100
1541233098.610625,192.168.50.6,172.217.10.98,6,100
1541233098.626325,192.168.50.6,172.217.9.238,6,60
1541233098.626328,192.168.50.6,172.217.9.238,6,60
1541233098.651518,172.217.7.2,192.168.50.6,6,100
1541233098.651520,172.217.7.2,192.168.50.6,6,100
1541233098.651952,172.217.10.98,192.168.50.6,6,100
1541233098.651954,172.217.10.98,192.168.50.6,6,100
1541233098.652455,172.217.10.98,192.168.50.6,6,100
1541233098.652457,172.217.10.98,192.168.50.6,6,100
1541233098.667379,172.217.9.238,192.168.50.6,6,60
1541233098.667381,172.217.9.238,192.168.50.6,6,60
1541233098.667575,192.168.50.6,172.217.9.238,6,60
1541233098.667577,192.168.50.6,172.217.9.238,6,60
1541233098.672988,192.168.50.6,172.217.10.98,6,60
1541233098.672990,192.168.50.6,172.217.7.2,6,60
1541233098.672990,192.168.50.6,172.217.10.98,6,60
1541233098.672991,192.168.50.6,172.217.10.98,6,60
1541233098.672992,192.168.50.6,172.217.7.2,6,60
1541233098.672992,192.168.50.6,172.217.10.98,6,60
1541233098.758942,0.0.0.0,255.255.255.255,17,342
1541233100.610850,192.168.50.6,172.217.10.65,6,100
1541233100.610852,192.168.50.6,172.217.10.65,6,100
1541233100.610854,192.168.50.6,172.217.7.2,6,100
1541233100.610855,192.168.50.6,172.217.7.2,6,100
1541233100.610876,192.168.50.6,172.217.12.206,6,100
1541233100.610956,192.168.50.6,172.217.12.206,6,100
1541233100.651769,172.217.7.2,192.168.50.6,6,100
1541233100.651772,172.217.7.2,192.168.50.6,6,100
1541233100.652013,172.217.12.206,192.168.50.6,6,100
1541233100.652016,172.217.12.206,192.168.50.6,6,100
1541233100.652719,172.217.10.65,192.168.50.6,6,100
1541233100.652721,172.217.10.65,192.168.50.6,6,100
1541233100.673140,192.168.50.6,172.217.10.65,6,60
1541233100.673143,192.168.50.6,172.217.7.2,6,60
1541233100.673144,192.168.50.6,172.217.12.206,6,60
1541233100.673145,192.168.50.6,172.217.10.65,6,60
1541233100.673146,192.168.50.6,172.217.7.2,6,60
1541233100.673147,192.168.50.6,172.217.12.206,6,60
1541233101.260576,0.0.0.0,255.255.255.255,17,342
1541233106.674067,0.0.0.0,255.255.255.255,17,342
1541233106.989249,192.168.50.9,35.158.163.158,6,112
1541233106.989252,192.168.50.9,35.158.163.158,6,112
1541233106.989253,192.168.50.9,54.192.55.39,6,112
1541233106.989255,192.168.50.9,54.192.55.39,6,112
1541233106.989319,192.168.50.9,93.184.216.180,6,105
1541233106.989321,192.168.50.9,93.184.216.180,6,105
1541233106.989421,192.168.50.9,54.192.55.39,6,97
1541233106.989423,192.168.50.9,54.192.55.39,6,97
1541233106.989424,192.168.50.9,54.192.55.39,6,66
1541233106.989425,192.168.50.9,54.192.55.39,6,66
1541233106.989469,192.168.50.9,35.158.163.158,6,97
1541233106.989470,192.168.50.9,35.158.163.158,6,66
1541233106.989471,192.168.50.9,35.158.163.158,6,97
1541233106.989472,192.168.50.9,35.158.163.158,6,66
1541233106.989576,192.168.50.9,93.184.216.180,6,90
1541233106.989577,192.168.50.9,93.184.216.180,6,66
1541233106.989578,192.168.50.9,93.184.216.180,6,90
1541233106.989579,192.168.50.9,93.184.216.180,6,66
1541233107.017413,93.184.216.180,192.168.50.9,6,90
1541233107.017415,93.184.216.180,192.168.50.9,6,90
1541233107.017417,93.184.216.180,192.168.50.9,6,66
1541233107.017418,93.184.216.180,192.168.50.9,6,66
1541233107.017505,192.168.50.9,93.184.216.180,6,60
1541233107.017506,192.168.50.9,93.184.216.180,6,60
1541233107.017507,192.168.50.9,93.184.216.180,6,60
1541233107.017509,192.168.50.9,93.184.216.180,6,60
1541233107.017847,93.184.216.180,192.168.50.9,6,66
1541233107.017848,93.184.216.180,192.168.50.9,6,66
1541233107.017925,192.168.50.9,93.184.216.180,6,60
1541233107.017927,192.168.50.9,93.184.216.180,6,60
1541233107.028355,54.192.55.39,192.168.50.9,6,66
1541233107.028357,54.192.55.39,192.168.50.9,6,66
1541233107.028658,54.192.55.39,192.168.50.9,6,66
1541233107.028659,54.192.55.39,192.168.50.9,6,66
1541233107.028752,192.168.50.9,54.192.55.39,6,66
1541233107.028755,192.168.50.9,54.192.55.39,6,66
1541233107.096759,35.158.163.158,192.168.50.9,6,66
1541233107.096762,35.158.163.158,192.168.50.9,6,66
1541233107.096763,35.158.163.158,192.168.50.9,6,66
1541233107.096764,35.158.163.158,192.168.50.9,6,66
1541233107.096831,192.168.50.9,35.158.163.158,6,66
1541233107.096833,192.168.50.9,35.158.163.158,6,66
1541233107.989374,192.168.50.9,172.217.197.154,6,112
1541233107.989377,192.168.50.9,172.217.197.154,6,112
1541233107.989433,192.168.50.9,172.217.197.154,6,97
1541233107.989434,192.168.50.9,172.217.197.154,6,66
1541233107.989435,192.168.50.9,172.217.197.154,6,97
1541233107.989436,192.168.50.9,172.217.197.154,6,66
1541233108.043168,172.217.197.154,192.168.50.9,6,66
1541233108.043171,172.217.197.154,192.168.50.9,6,66
1541233108.043172,172.217.197.154,192.168.50.9,6,66
1541233108.043173,172.217.197.154,192.168.50.9,6,66
